Disease,Doctor Name,Specialization,Hospital,Experience,Phone Number,Rating,Availability Time
Dengue,Dr. Vikram Patel,Dermatologist,Fortis Hospital,25 years,+91 5432109876,4.2,2:00 PM - 5:00 PM
Dengue,Dr. Neha Kapoor,General Physician,Fortis Hospital,25 years,+91 2109876543,5.0,6:00 PM - 9:00 PM
Dengue,Dr. Anjali Mehta,Orthopedic,Medanta,20 years,+91 6543210987,4.2,6:00 PM - 9:00 PM
Dengue,Dr. Priya Nair,ENT Specialist,Fortis Hospital,12 years,+91 2109876543,3.5,6:00 PM - 9:00 PM
Typhoid,Dr. Vikram Patel,Cardiologist,Fortis Hospital,18 years,+91 6543210987,3.5,10:00 AM - 1:00 PM
Typhoid,Dr. Sanjay Verma,Endocrinologist,Max Healthcare,8 years,+91 4321098765,4.5,6:00 PM - 9:00 PM
Typhoid,Dr. Sunita Rao,Dermatologist,Max Healthcare,15 years,+91 5432109876,4.7,4:00 PM - 7:00 PM
Typhoid,Dr. Ramesh Iyer,Dermatologist,Manipal Hospital,12 years,+91 4321098765,4.9,9:00 AM - 12:00 PM
Typhoid,Dr. Neha Kapoor,Pulmonologist,Manipal Hospital,18 years,+91 6543210987,5.0,4:00 PM - 7:00 PM
Typhoid,Dr. Sanjay Verma,Orthopedic,Narayana Health,10 years,+91 8765432109,4.9,8:00 AM - 11:00 AM
Typhoid,Dr. Vikram Patel,General Physician,Fortis Hospital,10 years,+91 4321098765,4.9,8:00 AM - 11:00 AM
Typhoid,Dr. Priya Nair,Gastroenterologist,Apollo Hospital,10 years,+91 3210987654,4.0,2:00 PM - 5:00 PM
Typhoid,Dr. Rajesh Sharma,Endocrinologist,Tata Memorial Hospital,15 years,+91 5432109876,4.2,10:00 AM - 1:00 PM
Typhoid,Dr. Rajesh Sharma,Endocrinologist,Tata Memorial Hospital,5 years,+91 5432109876,4.0,9:00 AM - 12:00 PM
hepatitis A,Dr. Priya Nair,Gastroenterologist,Fortis Hospital,10 years,+91 3210987654,4.2,6:00 PM - 9:00 PM
hepatitis A,Dr. Anjali Mehta,Endocrinologist,AIIMS Delhi,5 years,+91 5432109876,3.5,6:00 PM - 9:00 PM
hepatitis A,Dr. Rajesh Sharma,Cardiologist,Narayana Health,25 years,+91 7654321098,3.5,9:00 AM - 12:00 PM
hepatitis A,Dr. Anjali Mehta,Cardiologist,Tata Memorial Hospital,15 years,+91 6543210987,5.0,9:00 AM - 12:00 PM
hepatitis A,Dr. Ramesh Iyer,Neurologist,Manipal Hospital,12 years,+91 3210987654,4.0,6:00 PM - 9:00 PM
hepatitis A,Dr. Anjali Mehta,Pulmonologist,Medanta,12 years,+91 9876543210,4.5,4:00 PM - 7:00 PM
hepatitis A,Dr. Ramesh Iyer,ENT Specialist,Fortis Hospital,15 years,+91 7654321098,3.5,4:00 PM - 7:00 PM
hepatitis A,Dr. Rajesh Sharma,Pulmonologist,Max Healthcare,18 years,+91 4321098765,4.2,10:00 AM - 1:00 PM
hepatitis A,Dr. Sanjay Verma,Pulmonologist,Fortis Hospital,20 years,+91 5432109876,3.8,10:00 AM - 1:00 PM
hepatitis A,Dr. Priya Nair,Dermatologist,AIIMS Delhi,15 years,+91 7654321098,4.7,4:00 PM - 7:00 PM
Hepatitis B,Dr. Priya Nair,General Physician,Tata Memorial Hospital,8 years,+91 6543210987,4.5,8:00 AM - 11:00 AM
Hepatitis B,Dr. Priya Nair,General Physician,Apollo Hospital,5 years,+91 8765432109,4.0,9:00 AM - 12:00 PM
Hepatitis B,Dr. Vikram Patel,ENT Specialist,Apollo Hospital,10 years,+91 8765432109,4.0,10:00 AM - 1:00 PM
Hepatitis B,Dr. Sanjay Verma,General Physician,Manipal Hospital,10 years,+91 9876543210,4.9,2:00 PM - 5:00 PM
Hepatitis B,Dr. Neha Kapoor,Cardiologist,Manipal Hospital,10 years,+91 3210987654,4.2,9:00 AM - 12:00 PM
Hepatitis B,Dr. Rajesh Sharma,ENT Specialist,AIIMS Delhi,10 years,+91 5432109876,4.5,2:00 PM - 5:00 PM
Hepatitis B,Dr. Ramesh Iyer,Neurologist,Narayana Health,5 years,+91 7654321098,4.5,8:00 AM - 11:00 AM
